"","reserve","date","life_stage","count","month_numeric","month_name","ppt","tmax","tmean","tmin","vpdmax","vpdmin","ppt_month","ppt_prior_month","region","location"
"1","McLaughlin",2021-01-03,"A",3,1,"January",1.00239992141724,7.68919992446899,6.33029985427856,4.97149991989136,0.0790999978780746,0,111.297897547483,73.5759990513325,"northern","inland"
"2","Fort Ord",2021-01-05,"A",11,1,"January",0.583299994468689,16.1478996276855,10.4594993591309,4.77119970321655,4.88679981231689,0.0550999976694584,108.939797878265,26.3499996177852,"central","coastal"
"3","Hastings",2021-01-06,"A",3,1,"January",0,16.9268989562988,9.27359962463379,1.62049996852875,15.4514999389648,0.554899990558624,211.385197283817,37.5440000891686,"central","inland"
"4","Big Creek",2021-01-07,"A",20,1,"January",0,16.3167991638184,12.7049999237061,9.09340000152588,11.6433992385864,2.95369982719421,307.56088912487,45.4139993786813,"central","coastal"
"5","Sedgwick",2021-01-09,"A",5,1,"January",0,21.8295001983643,12.8919992446899,3.95459985733032,21.5761985778809,1.77669990062714,143.26960003376,42.2900011762977,"southern","inland"
"6","McLaughlin",2021-03-13,"A",7,3,"March",0,16.4291000366211,10.6960000991821,4.96309995651245,15.8390998840332,3.6755998134613,71.7011970673921,53.7634988480714,"northern","inland"
"7","Quail Ridge",2021-03-14,"A",4,3,"March",0,18.1690998077393,9.17350006103516,0.178099989891052,11.957200050354,0.209299996495247,44.7990992695558,26.0735993087292,"northern","inland"
"8","Point Reyes",2021-03-15,"A",31,3,"March",8.56839942932129,10.5040998458862,7.21709966659546,3.93019986152649,3.9400999546051,0.29009997844696,56.481699223863,52.8147985935211,"northern","coastal"
"9","Big Creek",2021-03-16,"A",19,3,"March",1.78559994697571,8.1963996887207,6.23049974441528,4.26469993591309,4.24819993972778,2.00119996070862,64.5374978482723,14.1645992994309,"central","coastal"
"10","Santa Cruz Island",2021-03-16,"A",34,3,"March",0,26.7217998504639,17.7805995941162,8.839599609375,27.3416996002197,2.34809994697571,17.3459993600845,0.123700000345707,"southern","inland"
"11","Rancho Marino",2021-03-17,"A",35,3,"March",0,13.444899559021,7.9640998840332,2.48339986801147,6.24970006942749,0.366799980401993,32.2174990773201,5.0446996986866,"central","coastal"
"12","Hastings",2021-03-18,"A",5,3,"March",0,11.8190994262695,7.45749998092651,3.09599995613098,4.62019968032837,0.0815000012516975,50.89389950037,13.7666996959597,"central","inland"
"13","Sedgwick",2021-03-21,"A",21,3,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"14","Coal Oil Point",2021-03-22,"A",1,3,"March",0,21.3822994232178,14.7337999343872,8.08539962768555,20.264799118042,3.95039987564087,32.8756989093963,1.16809995565563,"southern","coastal"
"15","Stunt Ranch",2021-03-24,"A",7,3,"March",0,17.8936996459961,11.6778993606567,5.46229982376099,13.5625,0.381199985742569,27.0947994589805,0,"southern","inland"
"16","Hastings",2021-03-28,"A",6,3,"March",0,11.8190994262695,7.45749998092651,3.09599995613098,4.62019968032837,0.0815000012516975,50.89389950037,13.7666996959597,"central","inland"
"17","Santa Cruz Island",2021-03-30,"A",15,3,"March",0,26.7217998504639,17.7805995941162,8.839599609375,27.3416996002197,2.34809994697571,17.3459993600845,0.123700000345707,"southern","inland"
"18","McLaughlin",2021-04-07,"A",7,4,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
"19","Quail Ridge",2021-04-08,"A",1,4,"April",0,22.5774002075195,13.5971994400024,4.61709976196289,19.8226985931396,0.52319997549057,3.8034999370575,44.7990992695558,"northern","inland"
"20","Fort Ord",2021-04-09,"A",3,4,"April",0,13.1535997390747,9.87839984893799,6.60329961776733,5.24659967422485,0.807500004768372,1.2652999162674,36.1705998778343,"central","coastal"
"21","Point Reyes",2021-04-09,"A",33,4,"April",0,17.1487998962402,11.4228992462158,5.69709968566895,10.3793001174927,0.453799992799759,2.94189999625086,56.481699223863,"northern","coastal"
"22","Hastings",2021-04-10,"A",4,4,"April",0,18.3502998352051,10.9327001571655,3.51529979705811,14.4722995758057,0.803299963474274,1.47359991073608,50.89389950037,"central","inland"
"23","Rancho Marino",2021-04-11,"A",22,4,"April",0,14.3526992797852,9.33549976348877,4.31850004196167,4.34389972686768,0.143999993801117,0,32.2174990773201,"central","coastal"
"24","Big Creek",2021-04-12,"A",5,4,"April",0,14.1205997467041,12.4362001419067,10.7519998550415,5.82690000534058,1.93789994716644,0.875,64.5374978482723,"central","coastal"
"25","Stunt Ranch",2021-04-14,"A",1,4,"April",0,14.5808000564575,10.8541994094849,7.12769985198975,5.40889978408813,0.710599958896637,0,27.0947994589805,"southern","inland"
"26","Sedgwick",2021-04-15,"A",4,4,"April",0,16.0970001220703,8.94040012359619,1.78380000591278,9.85299968719482,0.351999998092651,1.1402999162674,35.1180995106697,"southern","inland"
"27","Coal Oil Point",2021-04-16,"A",1,4,"April",0,15.9682998657227,10.9893999099731,6.0105996131897,6.10459995269775,0.567099988460541,2.02319997549057,32.8756989093963,"southern","coastal"
"28","Santa Cruz Island",2021-04-17,"A",157,4,"April",0,21.0546989440918,14.3330993652344,7.61169958114624,17.2880001068115,0.465299993753433,0,17.3459993600845,"southern","inland"
"29","Santa Cruz Island",2021-04-18,"A",10,4,"April",0,21.0546989440918,14.3330993652344,7.61169958114624,17.2880001068115,0.465299993753433,0,17.3459993600845,"southern","inland"
"30","Point Reyes",2021-05-07,"A",7,5,"May",0,16.675199508667,11.7143001556396,6.75349998474121,7.43909978866577,0.341999977827072,0.393999993801117,2.94189999625086,"northern","coastal"
"31","Fort Ord",2021-05-08,"A",4,5,"May",0,15.023699760437,10.6568994522095,6.29019975662231,7.07379961013794,0.742500007152557,3.03689998388291,1.2652999162674,"central","coastal"
"32","Big Creek",2021-05-10,"A",2,5,"May",0,21.6950988769531,17.0128993988037,12.3308000564575,17.4251003265381,4.541100025177,0,0.875,"central","coastal"
"33","Rancho Marino",2021-05-11,"A",12,5,"May",0,14.7982997894287,11.633599281311,8.46909999847412,3.11479997634888,0.0362999998033047,0.858299970626831,0,"central","coastal"
"34","Santa Cruz Island",2021-05-16,"A",32,5,"May",0,19.1014003753662,14.4344997406006,9.76760005950928,12.7473993301392,0.746800005435944,0,0,"southern","inland"
"35","Point Reyes",2021-06-04,"A",11,6,"June",0,24.4745998382568,17.3966999053955,10.3189001083374,16.6415004730225,0.869099974632263,4.558499827981,0.393999993801117,"northern","coastal"
"36","Fort Ord",2021-06-05,"A",1,6,"June",0,15.0677995681763,12.7378997802734,10.4081993103027,4.79759979248047,0.682900011539459,0.496099978685379,3.03689998388291,"central","coastal"
"37","Big Creek",2021-06-07,"A",1,6,"June",0,15.5492992401123,12.2754001617432,9.00169944763184,6.63479995727539,0.287999987602234,0,0,"central","coastal"
"38","Rancho Marino",2021-06-08,"A",1,6,"June",0,16.2787990570068,12.5682001113892,8.8577995300293,5.13479995727539,0.430599987506866,0,0.858299970626831,"central","coastal"
"39","Santa Cruz Island",2021-06-12,"A",7,6,"June",0,26.4315986633301,19.6891002655029,12.9467000961304,27.5125999450684,6.20359992980957,0,0,"southern","inland"
"40","McLaughlin",2021-03-11,"L",32,3,"March",0,16.4291000366211,10.6960000991821,4.96309995651245,15.8390998840332,3.6755998134613,71.7011970673921,53.7634988480714,"northern","inland"
"41","McLaughlin",2021-04-07,"L",38,4,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
"42","Quail Ridge",2021-04-08,"L",1,4,"April",0,22.5774002075195,13.5971994400024,4.61709976196289,19.8226985931396,0.52319997549057,3.8034999370575,44.7990992695558,"northern","inland"
"43","Hastings",2021-04-10,"L",79,4,"April",0,18.3502998352051,10.9327001571655,3.51529979705811,14.4722995758057,0.803299963474274,1.47359991073608,50.89389950037,"central","inland"
"44","Sedgwick",2021-04-15,"L",7,4,"April",0,16.0970001220703,8.94040012359619,1.78380000591278,9.85299968719482,0.351999998092651,1.1402999162674,35.1180995106697,"southern","inland"
"45","Santa Cruz Island",2021-04-18,"L",1,4,"April",0,21.0546989440918,14.3330993652344,7.61169958114624,17.2880001068115,0.465299993753433,0,17.3459993600845,"southern","inland"
"46","McLaughlin",2021-05-05,"L",38,5,"May",0,29.6961994171143,21.0076999664307,12.319299697876,33.456298828125,5.20160007476807,0,6.62619972229004,"northern","inland"
"47","Quail Ridge",2021-05-06,"L",16,5,"May",0,35.5480995178223,22.9293994903564,10.3108997344971,48.4339981079102,1.84009993076324,0,3.8034999370575,"northern","inland"
"48","Point Reyes",2021-05-07,"L",2,5,"May",0,16.675199508667,11.7143001556396,6.75349998474121,7.43909978866577,0.341999977827072,0.393999993801117,2.94189999625086,"northern","coastal"
"49","Fort Ord",2021-05-08,"L",2,5,"May",0,15.023699760437,10.6568994522095,6.29019975662231,7.07379961013794,0.742500007152557,3.03689998388291,1.2652999162674,"central","coastal"
"50","Hastings",2021-05-09,"L",7,5,"May",0,24.934398651123,16.8918991088867,8.84959983825684,26.7840995788574,4.03719997406006,0,1.47359991073608,"central","inland"
"51","Stunt Ranch",2021-05-12,"L",6,5,"May",0,22.4778003692627,16.3808002471924,10.2839994430542,13.3112993240356,0.163599997758865,0,0,"southern","inland"
"52","Sedgwick",2021-05-13,"L",1,5,"May",0,26.8193988800049,17.5137996673584,8.20829963684082,20.8088989257812,0.390699982643127,0,1.1402999162674,"southern","inland"
"53","McLaughlin",2021-06-02,"L",3,6,"June",0,37.5841979980469,27.9369983673096,18.2899990081787,57.4456977844238,11.0514001846313,0,0,"northern","inland"
"54","Point Reyes",2021-06-04,"L",1,6,"June",0,24.4745998382568,17.3966999053955,10.3189001083374,16.6415004730225,0.869099974632263,4.558499827981,0.393999993801117,"northern","coastal"
"55","Fort Ord",2021-06-05,"L",14,6,"June",0,15.0677995681763,12.7378997802734,10.4081993103027,4.79759979248047,0.682900011539459,0.496099978685379,3.03689998388291,"central","coastal"
"56","Hastings",2021-06-06,"L",3,6,"June",0,27.7193984985352,18.7775001525879,9.83580017089844,28.2821998596191,3.03779983520508,0,0,"central","inland"
"57","Coal Oil Point",2021-06-10,"L",2,6,"June",0,22.3003997802734,16.2992992401123,10.2983999252319,17.8987998962402,3.35220003128052,1.42320001125335,1.95609998703003,"southern","coastal"
"58","McLaughlin",2021-03-13,"N",2,3,"March",0,16.4291000366211,10.6960000991821,4.96309995651245,15.8390998840332,3.6755998134613,71.7011970673921,53.7634988480714,"northern","inland"
"59","Quail Ridge",2021-03-14,"N",1,3,"March",0,18.1690998077393,9.17350006103516,0.178099989891052,11.957200050354,0.209299996495247,44.7990992695558,26.0735993087292,"northern","inland"
"60","Coal Oil Point",2021-03-15,"N",3,3,"March",0,21.3822994232178,14.7337999343872,8.08539962768555,20.264799118042,3.95039987564087,32.8756989093963,1.16809995565563,"southern","coastal"
"61","Hastings",2021-03-18,"N",1,3,"March",0,11.8190994262695,7.45749998092651,3.09599995613098,4.62019968032837,0.0815000012516975,50.89389950037,13.7666996959597,"central","inland"
"62","Sedgwick",2021-03-21,"N",1,3,"March",0,17.5879001617432,12.363299369812,7.1387996673584,14.1996994018555,2.62619996070862,35.1180995106697,3.17009991407394,"southern","inland"
"63","Coal Oil Point",2021-03-22,"N",1,3,"March",0,21.3822994232178,14.7337999343872,8.08539962768555,20.264799118042,3.95039987564087,32.8756989093963,1.16809995565563,"southern","coastal"
"64","McLaughlin",2021-04-07,"N",7,4,"April",0,22.082498550415,13.5458993911743,5.00950002670288,19.7052001953125,0.785999953746796,6.62619972229004,71.7011970673921,"northern","inland"
